,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
0,Bharatiya Janata Party - BJP,1,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,Andaman &amp; Nicobar Islands
1,Telugu Desam - TDP,16,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
2,Telugu Desam - TDP,16,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
3,Telugu Desam - TDP,16,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
4,Telugu Desam - TDP,16,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
5,Telugu Desam - TDP,16,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
6,Telugu Desam - TDP,16,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
7,Telugu Desam - TDP,16,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
8,Telugu Desam - TDP,16,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
9,Telugu Desam - TDP,16,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
10,Telugu Desam - TDP,16,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
11,Telugu Desam - TDP,16,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
12,Telugu Desam - TDP,16,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
13,Telugu Desam - TDP,16,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
14,Telugu Desam - TDP,16,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
15,Telugu Desam - TDP,16,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
16,Telugu Desam - TDP,16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
17,Telugu Desam - TDP,16,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
18,Telugu Desam - TDP,16,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
19,Telugu Desam - TDP,16,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
20,Telugu Desam - TDP,16,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
21,Telugu Desam - TDP,16,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
22,Telugu Desam - TDP,16,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
23,Telugu Desam - TDP,16,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
24,Telugu Desam - TDP,16,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
25,Telugu Desam - TDP,16,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
26,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
27,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
28,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
29,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
30,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
31,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
32,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
33,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
34,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
35,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
36,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
37,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
38,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
39,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
40,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
41,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
42,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
43,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
44,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
45,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
46,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
47,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
48,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
49,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
50,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
51,Bharatiya Janata Party - BJP,3,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
52,Bharatiya Janata Party - BJP,3,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
53,Bharatiya Janata Party - BJP,3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
54,Bharatiya Janata Party - BJP,3,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
